         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            56222908              32        15.37        20.22          491.84          647.04
            21552284              30        10.40        15.18          312.00          455.40
            88491828              34        29.57        34.24         1005.38         1164.16
            58810322               4        19.17        25.03           76.68          100.12
            25372090              93        17.27        22.99         1606.11         2138.07
            68262175              92        19.83        24.50         1824.36         2254.00
            15276046              96        15.72        19.42         1509.12         1864.32
            76076746              64        15.72        19.29         1006.08         1234.56
            29884085              52        26.47        30.46         1376.44         1583.92
            53741016              54        23.69        27.10         1279.26         1463.40
            35304393              38        29.75        33.66         1130.50         1279.08
            43416112              72        25.53        28.62         1838.16         2060.64
            35262107               8        14.46        19.91          115.68          159.28
            88046718              25        22.56        27.49          564.00          687.25
            67515582              61        17.43        20.59         1063.23         1255.99
            77803747              70        26.72        29.74         1870.40         2081.80
            15183855              18        24.59        29.80          442.62          536.40
            80203561               4        28.03        32.89          112.12          131.56
            80437590              89        12.47        17.70         1109.83         1575.30
            86414890              27        10.02        14.42          270.54          389.34
            28069210              27        12.45        16.94          336.15          457.38
            23132529              24        24.77        28.34          594.48          680.16
            83582158              67        22.44        26.30         1503.48         1762.10
            58445058               2        21.96        27.41           43.92           54.82
            60123854              80        22.90        26.34         1832.00         2107.20
            88452976              45        13.45        17.83          605.25          802.35
            77445705              30        29.18        33.65          875.40         1009.50
            43777863              67        16.83        20.60         1127.61         1380.20
            43891580              46        11.44        16.13          526.24          741.98
            78122228              85        13.73        18.55         1167.05         1576.75
            18082546              53        23.34        29.03         1237.02         1538.59
            31803679              94        23.14        26.61         2175.16         2501.34
            59128090              11        16.39        20.12          180.29          221.32
            86767861              93        16.94        22.43         1575.42         2085.99
            35539581              17        16.74        22.13          284.58          376.21
            36020570              22        15.27        19.78          335.94          435.16
            39341800              25        24.32        29.58          608.00          739.50
            77643941              27        13.18        16.62          355.86          448.74
            30418386              42        23.72        28.11          996.24         1180.62
            16768461              35        10.07        15.28          352.45          534.80
            49142030              36        23.15        28.01          833.40         1008.36
            15388347              59        27.85        32.62         1643.15         1924.58
            65237455              56        12.63        17.39          707.28          973.84
            51080942              56        23.57        29.09         1319.92         1629.04
            80084832              35        23.91        28.79          836.85         1007.65
            40278707              84        20.15        24.30         1692.60         2041.20
            54366510              24        13.73        18.58          329.52          445.92
            40095023              62        18.63        24.31         1155.06         1507.22
            44493871              38        21.74        24.88          826.12          945.44
            11531675              85        10.99        16.11          934.15         1369.35
            27240862              43        28.12        31.28         1209.16         1345.04
            22142782              41        17.65        21.80          723.65          893.80
            79891110               8        10.47        16.15           83.76          129.20
            78629863               8        24.51        28.31          196.08          226.48
            84001619               3        20.58        24.48           61.74           73.44
            44928407              38        14.42        20.03          547.96          761.14
            82887766              39        16.82        21.55          655.98          840.45
            21340084              74        23.88        29.40         1767.12         2175.60
            81296480              90        25.59        31.13         2303.10         2801.70
            53016903              16        11.19        15.79          179.04          252.64
            86202831              47        29.26        35.23         1375.22         1655.81
            50036717               8        24.69        28.73          197.52          229.84
            46738486              38        14.87        19.44          565.06          738.72
            40171345              51        17.93        21.06          914.43         1074.06
            88563106              11        11.74        16.01          129.14          176.11
            32827437               8        20.49        24.73          163.92          197.84
            53904146              33        29.37        35.22          969.21         1162.26
            35141667              98        21.15        26.43         2072.70         2590.14
            73657743              49        19.68        23.46          964.32         1149.54
            78023688              28        29.67        35.41          830.76          991.48
            63435178              55        22.04        27.16         1212.20         1493.80
            31665020              26        15.76        18.78          409.76          488.28
            74543762              61        12.57        16.86          766.77         1028.46
            23842706              77        10.92        14.54          840.84         1119.58
            32407988              15        28.85        34.65          432.75          519.75
            83480974              83        23.94        29.53         1987.02         2450.99
            13258730              62        19.61        24.99         1215.82         1549.38
            15917508              81        28.92        31.96         2342.52         2588.76
            43941327              31        12.59        16.54          390.29          512.74
            34189844              93        16.77        20.93         1559.61         1946.49
            37413158              28        28.57        33.34          799.96          933.52
            18659990              43        15.01        20.76          645.43          892.68
            43210345              76        11.33        14.55          861.08         1105.80
            46621097              48        26.37        29.84         1265.76         1432.32
            13201627              70        18.12        24.09         1268.40         1686.30
            56030075              46        18.62        22.81          856.52         1049.26
            71852096              57        26.92        30.71         1534.44         1750.47
            58339617              68        13.73        18.72          933.64         1272.96
            81735019              16        25.51        31.43          408.16          502.88
            58609625               1        23.58        27.78           23.58           27.78
            79195238              21        11.38        15.86          238.98          333.06
            62028894              95        28.44        33.25         2701.80         3158.75
            50019335              63        18.86        23.04         1188.18         1451.52
            57301383              68        15.52        21.46         1055.36         1459.28
            53717044              66        16.04        20.59         1058.64         1358.94
            87951178              60        18.19        23.37         1091.40         1402.20
            48509677               4        25.20        29.71          100.80          118.84
            49013255              89        18.32        24.27         1630.48         2160.03
            32728517              82        15.43        19.58         1265.26         1605.56
            18059483              19        13.66        17.57          259.54          333.83
            21314622              60        18.99        24.19         1139.40         1451.40
            84777768              66        11.40        14.53          752.40          958.98
            72587977              76        24.53        29.75         1864.28         2261.00
            62159876              47        12.63        17.34          593.61          814.98
            65853384              51        18.67        22.56          952.17         1150.56
            69855441              96        15.56        18.77         1493.76         1801.92
            64349453              14        18.46        23.84          258.44          333.76
            49052689              79        23.14        27.68         1828.06         2186.72
            21390393              99        10.14        14.09         1003.86         1394.91
            28458648              97        19.67        22.73         1907.99         2204.81
            59734200              12        25.75        31.22          309.00          374.64
            16618211              24        17.44        20.78          418.56          498.72
            14379934              45        29.70        33.17         1336.50         1492.65
            15963630               5        29.36        32.93          146.80          164.65
            38072280              17        22.95        28.65          390.15          487.05
            83980353              56        20.50        25.99         1148.00         1455.44
            83637016              69        27.45        31.72         1894.05         2188.68
            22231544              65        23.11        28.16         1502.15         1830.40
            30739126              14        27.83        33.29          389.62          466.06
            68849001              21        11.90        15.56          249.90          326.76
            77430412              70        29.20        34.45         2044.00         2411.50
            34850784              89        12.43        15.68         1106.27         1395.52
            29435965              39        25.28        31.23          985.92         1217.97
            66955027              45        26.73        30.99         1202.85         1394.55
            65014865              54        28.95        34.28         1563.30         1851.12
            41677726              77        14.76        18.57         1136.52         1429.89
            61130267              34        10.88        14.34          369.92          487.56
            15039599               1        21.53        26.95           21.53           26.95
            11587650              37        10.76        14.92          398.12          552.04
            83361455              50        10.14        16.07          507.00          803.50
            63758855              39        11.25        14.70          438.75          573.30
            23375463              13        15.85        20.15          206.05          261.95
            22442765              20        14.24        18.39          284.80          367.80
            58038988              62        13.42        17.69          832.04         1096.78
            64418724               9        21.15        25.22          190.35          226.98
            54221156              93        13.04        18.12         1212.72         1685.16
            31187804              66        20.23        25.46         1335.18         1680.36
            69865581              94        21.26        26.45         1998.44         2486.30
            80767659              23        26.89        31.88          618.47          733.24
            60289116               3        14.50        18.91           43.50           56.73
            32945551              21        21.25        26.10          446.25          548.10
            42145649              30        19.23        24.90          576.90          747.00
            37948824              62        25.06        28.67         1553.72         1777.54
            77514121              29        23.08        26.38          669.32          765.02
            34092153               3        23.76        29.20           71.28           87.60
            36733364              69        29.72        35.59         2050.68         2455.71
            84666631              32        28.79        34.75          921.28         1112.00
            75630018              41        10.08        15.68          413.28          642.88
            21291543              84        21.88        27.76         1837.92         2331.84
            62481686              38        27.38        31.15         1040.44         1183.70
            79153401              57        24.13        27.24         1375.41         1552.68
            48583427              80        15.99        20.68         1279.20         1654.40
            50536431              89        26.48        29.98         2356.72         2668.22
            44560715              50        13.19        17.67          659.50          883.50
            43051474              81        20.39        25.20         1651.59         2041.20
            45136408               2        12.71        15.71           25.42           31.42
            18422552             100        22.06        27.26         2206.00         2726.00
            70937179              64        12.78        17.75          817.92         1136.00
            49263193              93        29.39        34.89         2733.27         3244.77
            52555493              21        20.65        25.19          433.65          528.99
            87553231              70        23.79        28.20         1665.30         1974.00
            70811150              90        27.85        33.48         2506.50         3013.20
            43510588              29        25.05        29.18          726.45          846.22
            61677125              39        27.05        32.57         1054.95         1270.23
            24718062              29        24.71        30.57          716.59          886.53
            59189425              89        22.54        27.43         2006.06         2441.27
            82701870              86        10.09        15.23          867.74         1309.78
            40036792              65        17.31        23.16         1125.15         1505.40
            36990628              49        28.67        33.09         1404.83         1621.41
            28232368              63        19.07        23.98         1201.41         1510.74
            46182485              57        11.19        15.73          637.83          896.61
            33429908              40        26.09        30.14         1043.60         1205.60
            28560733              85        29.66        34.80         2521.10         2958.00
            34307586              41        18.20        24.14          746.20          989.74
            34763532              86        15.68        21.17         1348.48         1820.62
            59142280              97        20.84        25.19         2021.48         2443.43
            61299263              98        29.11        33.01         2852.78         3234.98
            37511487              37        25.77        30.34          953.49         1122.58
            34751590              46        12.60        16.52          579.60          759.92
            81252880              16        14.36        18.04          229.76          288.64
            42578554              20        17.59        21.44          351.80          428.80
            64002588              59        20.18        24.44         1190.62         1441.96
            79900665              22        21.35        24.99          469.70          549.78
            75799058              31        25.89        30.75          802.59          953.25
            17800899              16        22.20        26.01          355.20          416.16
            54667311              34        13.30        17.40          452.20          591.60
            66125098              44        22.44        28.41          987.36         1250.04
            13174473              91        29.75        35.68         2707.25         3246.88
            79490708              84        10.37        15.25          871.08         1281.00
            78407458               4        16.28        21.33           65.12           85.32
            85941566              18        21.95        27.00          395.10          486.00
            22387159              81        13.54        19.15         1096.74         1551.15
            15183855              18        24.59        29.80          442.62          536.40
            76601028              28        21.49        25.62          601.72          717.36
            58782510              80        21.90        25.49         1752.00         2039.20
            43416112              72        25.53        28.62         1838.16         2060.64
            14947415              10        16.17        21.10          161.70          211.00
            86414890              27        10.02        14.42          270.54          389.34
            50743173              92        24.91        29.66         2291.72         2728.72
            28069210              27        12.45        16.94          336.15          457.38
            78023688              28        29.67        35.41          830.76          991.48
            58445058               2        21.96        27.41           43.92           54.82
            18082546              53        23.34        29.03         1237.02         1538.59
            57978117              10        28.15        33.61          281.50          336.10
            80437590              89        12.47        17.70         1109.83         1575.30
            31803679              94        23.14        26.61         2175.16         2501.34
            52392582              78        16.69        20.31         1301.82         1584.18
            55000517              95        11.84        15.36         1124.80         1459.20
            39341800              25        24.32        29.58          608.00          739.50
            46288741              98        26.86        32.62         2632.28         3196.76
            31761910              89        17.84        23.01         1587.76         2047.89
            49142030              36        23.15        28.01          833.40         1008.36
            27572106              22        25.71        31.56          565.62          694.32
            65915441              71        18.19        24.01         1291.49         1704.71
            59802180              33        13.26        17.79          437.58          587.07
            19121129              99        11.37        14.84         1125.63         1469.16
            80084832              35        23.91        28.79          836.85         1007.65
            59474045              55        11.99        16.72          659.45          919.60
            31650412              77        28.82        32.43         2219.14         2497.11
            28810429              81        29.49        33.01         2388.69         2673.81
            44493871              38        21.74        24.88          826.12          945.44
            58485457               5        23.64        28.18          118.20          140.90
            32827437               8        20.49        24.73          163.92          197.84
            29134137              49        13.61        18.81          666.89          921.69
            79891110               8        10.47        16.15           83.76          129.20
            21340084              74        23.88        29.40         1767.12         2175.60
            49300488              61        10.69        16.28          652.09          993.08
            62963680              36        17.16        22.50          617.76          810.00
            19103941              66        25.55        28.79         1686.30         1900.14
            16643747              76        20.80        26.65         1580.80         2025.40
            73833666              69        21.75        26.11         1500.75         1801.59
            23842706              77        10.92        14.54          840.84         1119.58
            34549045               7        13.67        16.67           95.69          116.69
            82887766              39        16.82        21.55          655.98          840.45
            13258730              62        19.61        24.99         1215.82         1549.38
            70401508              98        28.82        34.04         2824.36         3335.92
            79065482              77        15.63        21.13         1203.51         1627.01
            86202831              47        29.26        35.23         1375.22         1655.81
            35071419              50        18.92        22.88          946.00         1144.00
            40171345              51        17.93        21.06          914.43         1074.06
            73324460              35        13.12        18.60          459.20          651.00
            71912539               9        13.96        19.25          125.64          173.25
            47578754              90        26.20        30.44         2358.00         2739.60
            35141667              98        21.15        26.43         2072.70         2590.14
            41721415              31        12.02        17.97          372.62          557.07
            47296985               1        10.99        15.81           10.99           15.81
            82011078              13        18.39        23.28          239.07          302.64
            31665020              26        15.76        18.78          409.76          488.28
            58810322               4        19.17        25.03           76.68          100.12
            28342656               2        26.18        30.82           52.36           61.64
            38334221               7        26.57        32.06          185.99          224.42
            77803747              70        26.72        29.74         1870.40         2081.80
            28342656               2        26.18        30.82           52.36           61.64
            68458253              17        18.28        21.32          310.76          362.44
            17559533              50        24.91        30.57         1245.50         1528.50
            77445705              30        29.18        33.65          875.40         1009.50
            88452976              45        13.45        17.83          605.25          802.35
            88452976              45        13.45        17.83          605.25          802.35
            81946005              22        19.90        24.29          437.80          534.38
            35539581              17        16.74        22.13          284.58          376.21
            34311148              62        12.77        18.19          791.74         1127.78
            34311148              62        12.77        18.19          791.74         1127.78
            83582158              67        22.44        26.30         1503.48         1762.10
            65237455              56        12.63        17.39          707.28          973.84
            14599689              68        21.52        26.55         1463.36         1805.40
            14599689              68        21.52        26.55         1463.36         1805.40
            81781879              98        21.13        24.15         2070.74         2366.70
            50310242              84        10.30        13.80          865.20         1159.20
            86457838              45        22.84        25.86         1027.80         1163.70
            86457838              45        22.84        25.86         1027.80         1163.70
            23180207              23        21.63        25.79          497.49          593.17
            15431795              95        15.33        19.15         1456.35         1819.25
            56222908              32        15.37        20.22          491.84          647.04
            45117011             100        19.02        24.56         1902.00         2456.00
            54366510              24        13.73        18.58          329.52          445.92
            15431795              95        15.33        19.15         1456.35         1819.25
            39347416              68        18.06        23.68         1228.08         1610.24
            25372090              93        17.27        22.99         1606.11         2138.07
            11531675              85        10.99        16.11          934.15         1369.35
            45117011             100        19.02        24.56         1902.00         2456.00
            55344433              71        29.00        34.35         2059.00         2438.85
            79334055              46        26.54        30.77         1220.84         1415.42
            78629863               8        24.51        28.31          196.08          226.48
            39347416              68        18.06        23.68         1228.08         1610.24
            58038988              62        13.42        17.69          832.04         1096.78
            29884085              52        26.47        30.46         1376.44         1583.92
            77465093              70        16.94        22.83         1185.80         1598.10
            55344433              71        29.00        34.35         2059.00         2438.85
            54756389               6        10.30        13.48           61.80           80.88
            35262107               8        14.46        19.91          115.68          159.28
            17358405              66        15.82        21.08         1044.12         1391.28
            77085365              41        22.53        26.66          923.73         1093.06
            50036717               8        24.69        28.73          197.52          229.84
            54756389               6        10.30        13.48           61.80           80.88
            55473817              57        19.13        22.13         1090.41         1261.41
            22971931              40        17.84        23.59          713.60          943.60
            70692724               6        19.41        22.88          116.46          137.28
            22971931              40        17.84        23.59          713.60          943.60
            39635549               8        28.02        33.32          224.16          266.56
            63173268               9        15.25        18.46          137.25          166.14
            60027243              72        19.48        24.93         1402.56         1794.96
            63173268               9        15.25        18.46          137.25          166.14
            22217524              54        10.94        15.56          590.76          840.24
            80924508              94        23.82        28.14         2239.08         2645.16
            15495526              36        16.20        20.47          583.20          736.92
            50317035              30        22.64        25.68          679.20          770.40
            22217524              54        10.94        15.56          590.76          840.24
            79195238              21        11.38        15.86          238.98          333.06
            40299841              50        28.50        31.89         1425.00         1594.50
            76254359              49        10.58        14.73          518.42          721.77
            15495526              36        16.20        20.47          583.20          736.92
            27640169              59        10.52        15.35          620.68          905.65
            66698657              48        16.13        21.83          774.24         1047.84
            79902221              71        22.07        25.66         1566.97         1821.86
            40299841              50        28.50        31.89         1425.00         1594.50
            68458253              17        18.28        21.32          310.76          362.44
            53518629              69        11.66        17.49          804.54         1206.81
            43436020              40        25.86        30.99         1034.40         1239.60
            66698657              48        16.13        21.83          774.24         1047.84
            27972823              12        28.73        32.17          344.76          386.04
            17692750              97        18.54        23.26         1798.38         2256.22
            21523085              56        18.54        22.90         1038.24         1282.40
            53518629              69        11.66        17.49          804.54         1206.81
            77086674              85        18.06        23.88         1535.10         2029.80
            62111634               1        16.41        19.97           16.41           19.97
            54404663              50        25.23        29.16         1261.50         1458.00
            17692750              97        18.54        23.26         1798.38         2256.22
            48635725              21        18.82        23.72          395.22          498.12
            36990628              49        28.67        33.09         1404.83         1621.41
            32728517              82        15.43        19.58         1265.26         1605.56
            85598406              64        10.32        14.12          660.48          903.68
            85525597              18        17.05        22.42          306.90          403.56
            64418724               9        21.15        25.22          190.35          226.98
            78206035              11        25.00        30.19          275.00          332.09
            43715790              31        27.98        31.68          867.38          982.08
            71733835              17        22.36        25.67          380.12          436.39
            86232263              80        11.06        14.93          884.80         1194.40
            53717044              66        16.04        20.59         1058.64         1358.94
            64853503              41        12.51        16.82          512.91          689.62
            35631998              79        25.89        29.56         2045.31         2335.24
            55344433              71        29.00        34.35         2059.00         2438.85
            14366464              32        10.12        15.81          323.84          505.92
            22877827               6        16.46        21.19           98.76          127.14
            43777863              67        16.83        20.60         1127.61         1380.20
            31050885              78        18.33        21.95         1429.74         1712.10
            79490708              84        10.37        15.25          871.08         1281.00
            72874936               5        18.34        22.96           91.70          114.80
            63689991              40        26.49        31.87         1059.60         1274.80
            43510588              29        25.05        29.18          726.45          846.22
            55263273              42        18.62        22.22          782.04          933.24
            63435178              55        22.04        27.16         1212.20         1493.80
            75541722              78        22.80        25.97         1778.40         2025.66
            15917508              81        28.92        31.96         2342.52         2588.76
            18659990              43        15.01        20.76          645.43          892.68
            20766559              15        17.28        21.88          259.20          328.20
            13201627              70        18.12        24.09         1268.40         1686.30
            40160899              46        10.83        14.53          498.18          668.38
            81735019              16        25.51        31.43          408.16          502.88
            52700852              67        28.70        31.79         1922.90         2129.93
            48509677               4        25.20        29.71          100.80          118.84
            21314622              60        18.99        24.19         1139.40         1451.40
            31641263              48        20.95        26.17         1005.60         1256.16
            37303335              98        14.00        19.04         1372.00         1865.92
            28062267              47        14.68        18.06          689.96          848.82
            38561693              47        18.00        22.00          846.00         1034.00
            34311148              62        12.77        18.19          791.74         1127.78
            40176566              78        23.29        29.24         1816.62         2280.72
            83391843              30        20.31        23.67          609.30          710.10
            86012790               1        11.18        15.75           11.18           15.75
            55371335              27        18.18        23.50          490.86          634.50
            49559225              94        21.63        27.14         2033.22         2551.16
            14599689              68        21.52        26.55         1463.36         1805.40
            64382696              86        15.98        20.57         1374.28         1769.02
            18982295              44        21.43        25.71          942.92         1131.24
            35537534              60        27.18        32.16         1630.80         1929.60
            85466608              62        12.70        16.12          787.40          999.44
            77435552              39        12.08        17.33          471.12          675.87
            74375297              31        12.28        18.21          380.68          564.51
            38280325              17        12.94        16.01          219.98          272.17
            83740526              23        19.56        22.59          449.88          519.57
            50536431              89        26.48        29.98         2356.72         2668.22
            33686751              46        20.10        23.74          924.60         1092.04
            69730813              84        12.39        17.64         1040.76         1481.76
            86232263              80        11.06        14.93          884.80         1194.40
            49996948              32        21.50        26.64          688.00          852.48
            74627727              31        23.93        28.06          741.83          869.86
            14578137              41        16.99        21.27          696.59          872.07
            45136408               2        12.71        15.71           25.42           31.42
            80101873              62        28.13        32.28         1744.06         2001.36
            44481271              78        27.03        32.21         2108.34         2512.38
            88452976              45        13.45        17.83          605.25          802.35
            18398033              13        29.16        32.22          379.08          418.86
            53904146              33        29.37        35.22          969.21         1162.26
            80581530              95        11.64        15.99         1105.80         1519.05
            83637016              69        27.45        31.72         1894.05         2188.68
            87553231              70        23.79        28.20         1665.30         1974.00
            40036792              65        17.31        23.16         1125.15         1505.40
            33429908              40        26.09        30.14         1043.60         1205.60
            61299263              98        29.11        33.01         2852.78         3234.98
            42578554              20        17.59        21.44          351.80          428.80
            85699185              26        13.43        19.23          349.18          499.98
            17800899              16        22.20        26.01          355.20          416.16
            79490708              84        10.37        15.25          871.08         1281.00
            22387159              81        13.54        19.15         1096.74         1551.15
            43416112              72        25.53        28.62         1838.16         2060.64
            28069210              27        12.45        16.94          336.15          457.38
            18082546              53        23.34        29.03         1237.02         1538.59
            85699185              26        13.43        19.23          349.18          499.98
            71351528              91        18.02        21.76         1639.82         1980.16
            78206035              11        25.00        30.19          275.00          332.09
            31917171              58        23.27        27.29         1349.66         1582.82
            47578754              90        26.20        30.44         2358.00         2739.60
            38932471              34        12.93        17.33          439.62          589.22
            46318094              53        13.39        18.74          709.67          993.22
            11303142              47        10.56        16.35          496.32          768.45
            49336268              99        15.02        18.51         1486.98         1832.49
            33483040              55        24.25        28.48         1333.75         1566.40
            62111634               1        16.41        19.97           16.41           19.97
            76427814              70        21.25        24.36         1487.50         1705.20
            64418724               9        21.15        25.22          190.35          226.98
            83234292              26        23.80        29.24          618.80          760.24
            44137228              61        23.26        27.46         1418.86         1675.06
            57301383              68        15.52        21.46         1055.36         1459.28
            17327188              41        23.79        28.18          975.39         1155.38
            44481271              78        27.03        32.21         2108.34         2512.38
            67167784               7        20.82        24.08          145.74          168.56
            47296985               1        10.99        15.81           10.99           15.81
            34189844              93        16.77        20.93         1559.61         1946.49
            37511487              37        25.77        30.34          953.49         1122.58
            11531675              85        10.99        16.11          934.15         1369.35
            21390393              99        10.14        14.09         1003.86         1394.91
            14379934              45        29.70        33.17         1336.50         1492.65
            53518629              69        11.66        17.49          804.54         1206.81
            56953445              35        21.16        25.85          740.60          904.75
            38072280              17        22.95        28.65          390.15          487.05
            21291543              84        21.88        27.76         1837.92         2331.84
            71351528              91        18.02        21.76         1639.82         1980.16
            68324629               6        24.98        30.61          149.88          183.66
            42770709              50        12.19        15.44          609.50          772.00
            41989446              16        22.21        27.26          355.36          436.16
            68458253              17        18.28        21.32          310.76          362.44
            83980353              56        20.50        25.99         1148.00         1455.44
            88491828              34        29.57        34.24         1005.38         1164.16
            21098319              27        16.73        20.84          451.71          562.68
            38917581              77        26.47        31.07         2038.19         2392.39
            74497902              82        20.00        23.21         1640.00         1903.22
            84623811               2        15.66        20.90           31.32           41.80
            71351528              91        18.02        21.76         1639.82         1980.16
            29134137              49        13.61        18.81          666.89          921.69
            85699860              21        20.28        23.37          425.88          490.77
            22442765              20        14.24        18.39          284.80          367.80
            49045379              25        14.14        19.04          353.50          476.00
            80581530              95        11.64        15.99         1105.80         1519.05
            66910032              10        12.87        17.11          128.70          171.10
            62963680              36        17.16        22.50          617.76          810.00
            43984612              76        25.76        31.51         1957.76         2394.76
            34549045               7        13.67        16.67           95.69          116.69
            50040763              32        14.71        20.02          470.72          640.64
            72216160               2        10.67        14.72           21.34           29.44
            79065482              77        15.63        21.13         1203.51         1627.01
            35303316              84        10.96        14.03          920.64         1178.52
            47216256              83        24.21        30.02         2009.43         2491.66
            22387159              81        13.54        19.15         1096.74         1551.15
            72591229              27        15.58        20.41          420.66          551.07
            35071419              50        18.92        22.88          946.00         1144.00
            28062267              47        14.68        18.06          689.96          848.82
            55000517              95        11.84        15.36         1124.80         1459.20
            57630177              38        26.52        29.81         1007.76         1132.78
            17103483              86        24.10        27.36         2072.60         2352.96
            44137228              61        23.26        27.46         1418.86         1675.06
            71912539               9        13.96        19.25          125.64          173.25
            15276046              96        15.72        19.42         1509.12         1864.32
            82011078              13        18.39        23.28          239.07          302.64
            55842246              48        15.98        21.43          767.04         1028.64
